      Radius     |       Dichte
  7.9400E-01     |      0.8981901
  7.9500E-01     |      0.8979416
  7.9600E-01     |      0.8976929
  7.9700E-01     |      0.8974438
  7.9800E-01     |      0.8971945
  7.9900E-01     |      0.8969450
  8.0000E-01     |      0.8966951
  8.0100E-01     |      0.8964450
  8.0200E-01     |      0.8961946
  8.0300E-01     |      0.8959439
  8.0400E-01     |      0.8956930
  8.0500E-01     |      0.8954418
  8.0600E-01     |      0.8951903
  8.0700E-01     |      0.8949386
  8.0800E-01     |      0.8946865
  8.0900E-01     |      0.8944343
  8.1000E-01     |      0.8941817
  8.1100E-01     |      0.8939289
  8.1200E-01     |      0.8936758
  8.1300E-01     |      0.8934224
  8.1400E-01     |      0.8931688
  8.1500E-01     |      0.8929148
  8.1600E-01     |      0.8926607
  8.1700E-01     |      0.8924062
  8.1800E-01     |      0.8921515
